epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.7403,1.1852,1.4907,1.20474,0.71616,0.48942,0.61955,0.46446,1.09521,1.16661,1.12429,1.428e-05,1.428e-05,1.428e-05
2,149.584,1.25022,1.5207,1.24323,0.62898,0.56986,0.62889,0.48249,1.07401,1.13194,1.10904,2.68048e-05,2.68048e-05,2.68048e-05
3,218.251,1.19897,1.50998,1.22934,0.653,0.57143,0.64011,0.48959,1.05934,1.09483,1.1008,3.62664e-05,3.62664e-05,3.62664e-05
4,294.646,1.2217,1.48751,1.22844,0.69904,0.57316,0.65171,0.50314,1.05352,1.06113,1.09858,4.26651e-05,4.26651e-05,4.26651e-05
5,367.406,1.15673,1.34824,1.19509,0.71596,0.57117,0.66465,0.5134,1.04685,1.03556,1.09188,4.60006e-05,4.60006e-05,4.60006e-05
6,445.824,1.18545,1.34873,1.19435,0.65993,0.60898,0.67782,0.5232,1.0434,1.02054,1.08671,4.62732e-05,4.62732e-05,4.62732e-05
7,522.124,1.1822,1.28609,1.17745,0.69044,0.61383,0.68576,0.52882,1.03483,1.00268,1.07968,4.34826e-05,4.34826e-05,4.34826e-05
8,598.121,1.20191,1.35846,1.22308,0.7344,0.61183,0.6867,0.52988,1.03618,0.9968,1.07953,3.6533e-05,3.6533e-05,3.6533e-05
9,673.568,1.1413,1.28224,1.17148,0.73615,0.61284,0.68812,0.533,1.03368,0.9909,1.07896,2.4752e-05,2.4752e-05,2.4752e-05
10,748.616,1.14012,1.18776,1.1571,0.72646,0.61366,0.68752,0.53471,1.03431,0.98965,1.07844,1.2971e-05,1.2971e-05,1.2971e-05
